,Link,Job Title,Company Name,Salary,Date of Posting
60,https://in.indeed.com/company/Promaynov/jobs/Cyber-Security-Strategy-Governance-a0b7f0549ffc3c4c?fccid=5993b74b2532e645&vjs=3,newCYBER SECURITY STRATEGY AND GOVERNANCE,Promaynov,"₹5,36,158 - ₹17,88,773 a year",EmployerActive 3 days ago
61,https://in.indeed.com/rc/clk?jk=a52256fae3c07055&fccid=dd616958bd9ddc12&vjs=3,Cyber Security Specialist/SOC Analyst,IT Support Desk,N/A,EmployerActive 3 days ago
62,https://in.indeed.com/company/PIONEER-ACADEMY/jobs/Cyber-Security-Engineer-f62692eb71e0df52?fccid=e611562f0303aeb7&vjs=3,Cyber Security Engineer,Pioneer Academy,"₹4,000 - ₹5,000 a week",EmployerActive 3 days ago
63,https://in.indeed.com/company/U.S-Gandhi-&-Co/jobs/Cyber-Forensic-Associate-79bed24365b521cc?fccid=b56e1cd5f5cac1b6&vjs=3,Cyber Forensic Associate,U.S Gandhi & Co,"₹50,000 a month",EmployerActive 3 days ago
64,https://in.indeed.com/rc/clk?jk=e5eca7b93cbff729&fccid=d7056cd7201280cc&vjs=3,Lead Cyber Security- Application Security,Reserve Bank Information Technology Private...,N/A,EmployerActive 3 days ago
65,https://in.indeed.com/company/Sagar-infotech/jobs/Cyber-Security-Analyst-15e1dade65bc8b6e?fccid=5b83cda26c42f8b9&vjs=3,Cyber Security Analyst,Sagar Infotech,"₹30,000 a month",EmployerActive 3 days ago
66,https://in.indeed.com/rc/clk?jk=2321d43d25e613bd&fccid=734cb5a01ee60f80&vjs=3,Global Black Belt - Security,Microsoft,N/A,EmployerActive 3 days ago
67,https://in.indeed.com/rc/clk?jk=c1394fe79879911b&fccid=8686937f641f561b&vjs=3,newSenior Application Security Engineer (m/f/d) 2,Adidas,N/A,EmployerActive 3 days ago
68,https://in.indeed.com/company/Shivaami-Cloud-Services/jobs/Manager-Cyber-Security-a9857ac610d56293?fccid=5d64bc201fc1b03b&vjs=3,newMANAGER CYBER SECURITY,Shivaami Cloud Services,"₹75,000 a month",EmployerActive 3 days ago
69,https://in.indeed.com/company/Vaishnavi-Support-Services-LLP/jobs/IT-Infrastructure-Security-Engineer-d1f5b0e503d4c3f7?fccid=61638eb90d411378&vjs=3,IT Infrastructure Security Engineer,Vaishnavi Support Services LLP,"₹30,000 - ₹55,000 a month",EmployerActive 3 days ago
70,https://in.indeed.com/rc/clk?jk=d789dd8e931ab89a&fccid=a94597f4a918e8bb&vjs=3,newCyber Security Engineer,dezerv.,N/A,EmployerActive 3 days ago
71,https://in.indeed.com/rc/clk?jk=84e2b9e97f994303&fccid=b25343f021fb51d7&vjs=3,Manager Information & Cyber Security and IT Infrastructure,Mercedes-Benz India Private Limited,N/A,EmployerActive 3 days ago
72,https://in.indeed.com/rc/clk?jk=044822fb5a3d379f&fccid=04392abef67f4c6d&vjs=3,Cyber Security Engineer L1,SecurityHQ,N/A,EmployerActive 3 days ago
73,https://in.indeed.com/rc/clk?jk=15e09c436a4613c2&fccid=cc1f9ea511d140fe&vjs=3,Cyber/IT Security,DBS Bank,N/A,EmployerActive 3 days ago
74,https://in.indeed.com/company/GetMax.ae/jobs/Cyber-Security-Intern-c6316869f40f2360?fccid=18d69b7342b613ba&vjs=3,newCyber Security Intern,GetMax.ae Microsoft Gold partner,N/A,EmployerActive 3 days ago
