,Link,Job Title,Company Name,Experience,Salary,Location,Description,Skills Required
12,https://www.naukri.com/job-listings-ai-ml-dl-computer-vision-solution-architect-cyient-limited-noida-hyderabad-secunderabad-pune-bangalore-bengaluru-12-to-15-years-270522501778?src=jobsearchDesk&sid=16541067408085822&xp=13&px=1,AI/ML/DL/ Computer vision Solution Architect,Cyient,12-15 Yrs,Not disclosed,"Noida, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru", Good experience in Data modelling and mining / ETL tasks as well as having used program...,"['Computer science', 'Semiconductor', 'jQuery', 'Linux', 'Image processing', 'Javascript', 'Healthcare', 'J2Ee']"
13,https://www.naukri.com/job-listings-data-scientist-computer-vision-nlp-talentstack-mumbai-1-to-4-years-310522910578?src=jobsearchDesk&sid=16541067408085822&xp=14&px=1,Data Scientist - Computer Vision/NLP,TalentStack,1-4 Yrs,Not disclosed,Mumbai, Bachelor Masters degree in computer science Computer Engineering Information Technology...,"['NLP', 'data structures', 'Computer Vision', 'Tensorflow', 'Python', 'Keras', 'IT Skills', 'Data Science']"
14,https://www.naukri.com/job-listings-data-scientist-computer-vision-nlp-talentstack-mumbai-1-to-4-years-310522908393?src=jobsearchDesk&sid=16541067408085822&xp=15&px=1,Data Scientist - Computer Vision/NLP,TalentStack,1-4 Yrs,Not disclosed,Mumbai, Should be comfortable in going through open source code and reading research papers Sho...,"['NLP', 'Computer Vision', 'IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Big Data', 'Tensorflow']"
15,https://www.naukri.com/job-listings-data-scientist-tensorflow-computer-vision-talentstack-mumbai-navi-mumbai-1-to-4-years-310522908324?src=jobsearchDesk&sid=16541067408085822&xp=16&px=1,Data Scientist - Tensorflow / Computer Vision,TalentStack,1-4 Yrs,Not disclosed,"Mumbai, Navi Mumbai", Should be comfortable in going through open source code and reading research papers Sho...,"['Tensorflow', 'Computer Vision', 'Keras', 'Python', 'data structures', 'algorithms', 'IT Skills', 'Data Science']"
16,https://www.naukri.com/job-listings-senior-computer-vision-deep-learning-engineer-immediate-joiner-findability-sciences-pvt-ltd-united-states-usa-2-to-7-years-260522909585?src=jobsearchDesk&sid=16541067408085822&xp=17&px=1,Senior Computer Vision & Deep Learning Engineer- Immediate Joiner,Findability Sciences,2-7 Yrs,Not disclosed,United States (USA), Only immediate joiners are eligible Excellent skills in Computer Vision/Deep Learning-b...,"['computer vision', 'ANN', 'python', 'cnn', 'rnn', 'LSTM', 'DNN', 'pytorch']"
17,https://www.naukri.com/job-listings-support-engineer-computer-vision-technologies-xr-perception-r-d-qualcomm-technologies-inc-bangalore-bengaluru-0-to-4-years-280222500324?src=jobsearchDesk&sid=16541067408085822&xp=18&px=1,"Support Engineer, Computer Vision Technologies - XR Perception R&D","Qualcomm Technologies, Inc",0-4 Yrs,Not disclosed,Bangalore/Bengaluru, Use of simple GUI or script-based tools is required for data collection and modificatio...,"['Engineering services', 'Wireless', 'Prototype', 'RF', 'USB', 'Analog', 'System design', 'Perl']"
18,https://www.naukri.com/job-listings-computer-vision-cv-test-engineer-qualcomm-technologies-inc-hyderabad-secunderabad-0-to-3-years-280122500465?src=jobsearchDesk&sid=16541067408085822&xp=19&px=1,Computer Vision/ CV Test Engineer,"Qualcomm Technologies, Inc",0-3 Yrs,Not disclosed,Hyderabad/Secunderabad," Develops, creates, and modifies general computer applications software or specialized u...","['Computer science', 'automation framework', 'Data analysis', 'Test strategy', 'Coding', 'Web development', 'Debugging', 'Product design']"
19,https://www.naukri.com/job-listings-computer-vision-engineer-agnext-technologies-indias-leading-agri-tech-driven-company-chandigarh-3-to-5-years-270522501189?src=jobsearchDesk&sid=16541067408085822&xp=20&px=1,Computer Vision Engineer,AgNext Technologies ( Indias leading Agri Tech driven Company),3-5 Yrs,Not disclosed,Chandigarh, What kind of professional exposure/technical skills should you have Hands-on experience...,"['Computer vision', 'Cloud computing', 'C++', 'C', 'Artificial Intelligence', 'Machine learning', 'Embedded Linux', 'STPI']"
20,https://www.naukri.com/job-listings-computer-vision-engineer-product-based-company-verificient-solutions-pvt-ltd-pune-2-to-5-years-270522006340?src=jobsearchDesk&sid=16541067454078559&xp=1&px=2,Computer Vision Engineer || Product Based Company,Verificient Solutions Pvt Ltd ,2-5 Yrs,"14,00,000 - 24,00,000 PA.",Remote, Roles and Responsibilities We are looking for a Computer Vision Developer with excellen...,"['Javascript', 'Computer Vision', 'Tensorflow', 'OpenCV', 'OOP', 'Data Structures', 'Object Oriented Programming', 'NodeJS']"
21,https://www.naukri.com/job-listings-research-scientist-engineer-computer-vision-machine-learning-career-maker-hyderabad-secunderabad-4-to-9-years-240522908059?src=jobsearchDesk&sid=16541067454078559&xp=2&px=2,Research Scientist/Engineer - Computer Vision/Machine Learning,Career Maker,4-9 Yrs,Not disclosed,Hyderabad/Secunderabad," Preferred Qualifications : - PhD MTech in computer vision, machine learning, or related...","['Computer Vision', 'Machine Learning', 'written', 'Multi - threading', 'verbal', 'communication', 'Image Processing', 'OCR']"
22,https://www.naukri.com/job-listings-computer-vision-engineer-nlp-python-data-mining-iaastha-mumbai-navi-mumbai-3-to-6-years-240522902574?src=jobsearchDesk&sid=16541067454078559&xp=3&px=2,Computer Vision Engineer - NLP/Python/Data Mining,iAastha,3-6 Yrs,Not disclosed,"Mumbai, Navi Mumbai"," Relevant work experience, including full time industry experience or as a researcher in...","['Computer Vision', 'RecSys', 'Data Mining', 'Java', 'NLP', 'Time Series Forecasting', 'Go', 'Python']"
23,https://www.naukri.com/job-listings-senior-computer-vision-engineer-machine-learning-datatobiz-chandigarh-2-to-5-years-150322904918?src=jobsearchDesk&sid=16541067454078559&xp=4&px=2,Senior Computer Vision Engineer - Machine Learning,DataToBiz,2-5 Yrs,Not disclosed,Chandigarh, Education & Experience Required : - Bachelors or Masters degree (Preferred) in Computer...,"['Deep Learning models', 'Computer Vision', 'Machine Learning', 'IT Skills', 'Python', 'Software Development', 'Cloud', 'AWS']"
24,https://www.naukri.com/job-listings-computer-vision-engineer-perspectai-hyderabad-secunderabad-3-to-7-years-180522003502?src=jobsearchDesk&sid=16541067454078559&xp=5&px=2,Computer Vision Engineer,PerspectAI,3-7 Yrs,Not disclosed,Hyderabad/Secunderabad, We are looking for young and dynamic individuals to join us in the position: Computer V...,"['AWS', 'SQL', 'Computer Vision', 'Python']"
25,https://www.naukri.com/job-listings-computer-vision-engineer-i2v-systems-private-limited-gurgaon-gurugram-1-to-6-years-240522002948?src=jobsearchDesk&sid=16541067454078559&xp=6&px=2,Computer Vision Engineer,i2v systems private limited,1-6 Yrs,"10,00,000 - 20,00,000 PA.",Gurgaon/Gurugram(Electronic City), Should work independently as well as with team Computer Vision experience candidates sh...,"['Computer Vision', 'OpenCV', 'Python', 'C', 'Keras', 'machine learning', 'IPP', 'computer vision algorithms']"
26,https://www.naukri.com/job-listings-computer-vision-engineer-kimball-electronics-india-pvt-ltd-kollam-quilon-trivandrum-thiruvananthapuram-5-to-10-years-230522003421?src=jobsearchDesk&sid=16541067454078559&xp=7&px=2,Computer Vision Engineer,Kimball Electronics (India) Pvt Ltd,5-10 Yrs,"1,75,000 - 6,50,000 PA.","Kollam/Quilon, Trivandrum/Thiruvananthapuram", Good Mathematical knowledge and aptitudeKnowledge in Machine Learning / Deep learning i...,"['Computer Vision', 'DSP', 'Machine Learning', 'Deep learning', 'IT Skills', 'Open cv', 'Artificial Intelligence']"
27,https://www.naukri.com/job-listings-computer-vision-intern-engineer-tensorgo-technologies-private-limited-hyderabad-secunderabad-0-to-1-years-230921501061?src=jobsearchDesk&sid=16541067454078559&xp=8&px=2,Computer Vision Intern / Engineer,TensorGo Technologies Private Limited,0-1 Yrs,Not disclosed,Hyderabad/Secunderabad, Good in Data Structures and Algorithms,"['Computer vision', 'deep learning', 'C++', 'GIT', 'data science', 'Wordpress', 'Agile', 'Data structures']"
28,https://www.naukri.com/job-listings-computer-vision-engineer-python-opencv-tensorflow-l-a-consultancy-hyderabad-secunderabad-pune-chennai-4-to-8-years-030920901855?src=jobsearchDesk&sid=16541067454078559&xp=9&px=2,Computer Vision Engineer - Python/OpenCV/Tensorflow,L A Consultancy,4-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai"," Technical skill required : Python, OpenCV, Multi-threading, Tensorflow, Yolo Preferred ...","['Tensorflow', 'OpenCV', 'Python', 'Azure', 'Multi - threading', 'Azure Security', 'Azure Storage', 'Azure App']"
29,https://www.naukri.com/job-listings-sr-ai-scientist-computer-vision-with-health-tech-company-the-bangalore-bengaluru-5-to-10-years-221221001406?src=jobsearchDesk&sid=16541067454078559&xp=10&px=2,Sr. AI Scientist -  Computer Vision with Health Tech Company,The Recruiters  ,5-10 Yrs,"30,00,000 - 40,00,000 PA.",Bangalore/Bengaluru(HSR Layout), 4 + years experience in solving complex real-world problems at scale Prior experience w...,"['Computer Vision', 'Deep Learning']"
30,https://www.naukri.com/job-listings-computer-vision-engineer-image-processing-hyringninja-mumbai-3-to-8-years-240522900074?src=jobsearchDesk&sid=16541067454078559&xp=11&px=2,Computer Vision Engineer - Image Processing,HyringNinja,3-8 Yrs,Not disclosed,Mumbai," Hand experience with machine learning techniques such as deep neural nets (DNN, CNN, LS...","['Image Processing', 'GCP', 'Java', 'RNN', 'Pytorch Keras', 'DNN', 'AIML', 'Azure']"
31,https://www.naukri.com/job-listings-work-from-home-computer-vision-engineer-datatobiz-private-limited-mohali-0-to-3-years-060522006058?src=jobsearchDesk&sid=16541067454078559&xp=12&px=2,Work From Home | Computer Vision Engineer,DATATOBIZ PRIVATE LIMITED,0-3 Yrs,"2,00,000 - 7,00,000 PA.",Remote," Key Skills:Computer vision, CNN, RNN, YONO and LSTMExperience: Upto 3 yearsRoles and re...","['computer vision', 'cnn', 'lstm', 'rnn']"
32,https://www.naukri.com/job-listings-computer-vision-function-owner-valeo-india-pvt-ltd-chennai-10-to-17-years-190522005347?src=jobsearchDesk&sid=16541067454078559&xp=13&px=2,Computer Vision Function Owner,Valeo,10-17 Yrs,Not disclosed,Chennai, Total Experience required-10 - 15 YearsFunction owner or product owner experience Exper...,"['computer vision', 'image processing', 'deep learning', 'artificial intelligence']"
33,https://www.naukri.com/job-listings-computer-vision-image-processing-engineer-qualcomm-technologies-inc-bangalore-bengaluru-2-to-6-years-180422500243?src=jobsearchDesk&sid=16541067454078559&xp=14&px=2,Computer Vision/Image Processing Engineer,"Qualcomm Technologies, Inc",2-6 Yrs,Not disclosed,Bangalore/Bengaluru," Demonstrated embedded system software development experience including kernels, device ...","['Wireless', 'Computer vision', 'C++', 'Software design', 'Linux', 'Image processing', 'Configuration management', 'Debugging']"
34,https://www.naukri.com/job-listings-computer-vision-image-processing-engineer-staff-qualcomm-technologies-inc-bangalore-bengaluru-1-to-14-years-171221500766?src=jobsearchDesk&sid=16541067454078559&xp=15&px=2,Computer Vision/Image Processing Engineer Staff,"Qualcomm Technologies, Inc",1-14 Yrs,Not disclosed,Bangalore/Bengaluru, Responsibilities shall include the following: Design and implementation of vision and i...,"['Wireless', 'Computer science', 'C++', 'Software design', 'Linux', 'Image processing', 'Debugging', 'SDLC']"
35,https://www.naukri.com/job-listings-senior-computer-vision-deep-learning-engineer-sony-corporation-of-america-bangalore-bengaluru-4-to-7-years-030921500297?src=jobsearchDesk&sid=16541067454078559&xp=16&px=2,Senior Computer Vision & Deep Learning Engineer,Sony Corporation of America,4-7 Yrs,Not disclosed,Bangalore/Bengaluru, Work experience in Detection or segmentation Good knowledge on Image processing Experie...,"['deep learning', 'Computer vision', 'C++', 'Image processing', 'Opencv', 'Programming', 'Research', 'Python']"
36,https://www.naukri.com/job-listings-staff-data-scientist-computer-vision-baker-hughes-the-network-bangalore-bengaluru-3-to-7-years-210322500212?src=jobsearchDesk&sid=16541067454078559&xp=17&px=2,Staff Data Scientist-Computer Vision,Baker Hughes,3-7 Yrs,Not disclosed,Bangalore/Bengaluru," Have a Bachelor / Masters/Phd in Computer Science or STEM Majors (Science, Technology, ...","['Computer science', 'Computer vision', 'deep learning', 'Cloud Services', 'Machine learning', 'NDT inspection', 'AWS', 'Analytics']"
