,Link,Job Title,Company Name,Salary,Date of Posting
101,https://in.indeed.com/rc/clk?jk=529862ea7e9468ca&fccid=5cdba60355a6cfe1&vjs=3,newProcess Analyst - Data,Taylor and Francis,N/A,Posted30+ days ago
102,https://in.indeed.com/company/Compunnel-Inc./jobs/Business-Analyst-Data-Analyst-57c20dc2733e108b?fccid=a290744589afaf5a&vjs=3,Business Analyst/Data Analyst,Compunnel Inc.,"₹18,00,000 a year",Posted30+ days ago
103,https://in.indeed.com/rc/clk?jk=c5f2f9b3f02f5ab7&fccid=539b363aa75d6455&vjs=3,newFinance Process Analyst,Good Business Lab,"₹4,00,000 - ₹7,00,000 a year",Posted30+ days ago
104,https://in.indeed.com/company/Sudarsanam-and-Associates/jobs/Data-Analyst-401be3b21fa6dc27?fccid=e0a368125976d9c7&vjs=3,newData Analyst,SUDARSANAM & ASSOCIATES,"₹15,000 a month",Posted30+ days ago
105,https://in.indeed.com/company/CollegeDunia/jobs/Data-Analyst-4d65d8aa7552a1d1?fccid=0b9e95f4ba69c2ad&vjs=3,Data Analyst,collegedunia.com,"₹30,000 - ₹45,000 a month",EmployerActive 9 days ago
106,https://in.indeed.com/company/AXEL/jobs/Data-Analyst-416f79a4ecd1a6d6?fccid=689eb2ebbfd61651&vjs=3,Data Analyst,AXEL,"₹25,000 - ₹35,000 a month",EmployerActive 9 days ago
107,https://in.indeed.com/rc/clk?jk=d191ab03ac40cae7&fccid=2df6a1e69a70a1e7&vjs=3,Data Analyst,Cognizant,N/A,EmployerActive 9 days ago
108,https://in.indeed.com/rc/clk?jk=d55789b83e5e127d&fccid=a4e4e2eaf26690c9&vjs=3,Associate-Data Visualization,Accenture,N/A,EmployerActive 9 days ago
109,https://in.indeed.com/company/Shya-Tech-Labs-Private-Limited/jobs/Data-Analyst-9bfb7b6ef2ce20c6?fccid=5afe648c8803332f&vjs=3,newData Analyst,Shya Tech Labs Private Limited,"₹8,00,000 a year",EmployerActive 9 days ago
110,https://in.indeed.com/company/AppleTech/jobs/Financial-Data-Analyst-c92e617a793f8a53?fccid=ddbb57bccf807e0b&vjs=3,Financial Data Analyst,AppleTech,"₹35,000 - ₹38,000 a month",EmployerActive 9 days ago
111,https://in.indeed.com/company/nexa-electricals/jobs/Data-Analyst-b8c0dd6d27fff33e?fccid=94999764561f6a3d&vjs=3,Data Analyst,Nexa electricals,"₹25,000 - ₹40,000 a month",EmployerActive 9 days ago
112,https://in.indeed.com/rc/clk?jk=da998d1d45dcb20f&fccid=936367796261bd6e&vjs=3,newData Analyst - Data and Analytics,Intel,N/A,EmployerActive 9 days ago
113,https://in.indeed.com/rc/clk?jk=afe5b9e8f41a3a65&fccid=aaf3b433897ea465&vjs=3,"Data Quality Analyst, Mumbai","JPMorgan Chase Bank, N.A.",N/A,EmployerActive 9 days ago
114,https://in.indeed.com/rc/clk?jk=b59b6c6b0ff48124&fccid=4a3a2b1eb3ec0691&vjs=3,newData & Analytics Analyst,NatWest Group,N/A,EmployerActive 9 days ago
115,https://in.indeed.com/company/Sytip-Technologies/jobs/Data-Analyst-5907279636d50402?fccid=4b5b741bf3122f71&vjs=3,Data Analyst,Sytip Technologies,"₹97,322 - ₹4,80,000 a year",EmployerActive 9 days ago
116,https://in.indeed.com/company/Maloo-Group/jobs/Data-Analyst-812112a25e9b021e?fccid=dedd55241ffc95cb&vjs=3,Data Analyst,Maloo Group,"₹25,000 - ₹30,000 a month",EmployerActive 9 days ago
117,"https://in.indeed.com/company/Conscious-Foundation,-recruitments/jobs/Business-Analyst-aa3c93d2150f0216?fccid=7b7dac5c07badb28&vjs=3",Business Analyst,"Conscious Foundation, recruitments","₹30,000 - ₹70,000 a month",EmployerActive 9 days ago
118,https://in.indeed.com/rc/clk?jk=be54de8220dbe3fd&fccid=dd616958bd9ddc12&vjs=3,Data Analyst (Junior),FENG GROUP,N/A,EmployerActive 9 days ago
119,https://in.indeed.com/rc/clk?jk=39694452270cb464&fccid=734cb5a01ee60f80&vjs=3,newData Analyst,Microsoft,N/A,EmployerActive 9 days ago
120,https://in.indeed.com/company/CRISIL-LIMITED/jobs/Data-Analyst-4fb4de844293ae93?fccid=07960deccb500f33&vjs=3,Data Analyst,CRISIL LIMITED,N/A,EmployerActive 3 days ago
121,https://in.indeed.com/rc/clk?jk=8f52e76e25f6ac55&fccid=87f38351bd29de24&vjs=3,newAssociate Data Analyst,EATON,N/A,EmployerActive 3 days ago
122,https://in.indeed.com/rc/clk?jk=2ce678fa6d8d483a&fccid=9e35787f589fa60f&vjs=3,Survey - Data Analyst,Cvent,N/A,EmployerActive 3 days ago
123,https://in.indeed.com/company/Statfinity-Pvt.-Ltd./jobs/Data-Analyst-415553d1c7d534be?fccid=7bec22cad28ff77c&vjs=3,Data Analyst,Statfinity Pvt. Ltd.,"₹25,000 - ₹40,000 a month",EmployerActive 3 days ago
124,https://in.indeed.com/rc/clk?jk=e19aa808cb2c0170&fccid=5e964c4afc56b180&vjs=3,Data Analytics- Senior Associate,PwC,N/A,EmployerActive 3 days ago
125,https://in.indeed.com/rc/clk?jk=d47a23ce4aed0795&fccid=9e215d88a6b33622&vjs=3,Talent Data and Analytics Coordinator -Analyst,Deloitte,N/A,EmployerActive 3 days ago
126,https://in.indeed.com/rc/clk?jk=2e29a48c1e7fa43a&fccid=9a9be59d4f84219d&vjs=3,Data Analyst,Group 8A,N/A,EmployerActive 3 days ago
127,https://in.indeed.com/company/Rangoli-Associates/jobs/Data-Analyst-a66c2fac296fbd09?fccid=149a072e108ca79b&vjs=3,newData Analyst,Rangoli Associates,"₹1,50,000 - ₹1,80,000 a year",EmployerActive 3 days ago
128,https://in.indeed.com/company/A1-Marketing/jobs/Data-Analyst-ed734afdf614e531?fccid=fa0546d278e88249&vjs=3,Data Analyst,A1 Marketing,"₹2,50,000 - ₹5,00,000 a year",EmployerActive 3 days ago
129,https://in.indeed.com/rc/clk?jk=fdea0188e88f2b0f&fccid=9e35787f589fa60f&vjs=3,Data Analyst,Cvent,N/A,EmployerActive 3 days ago
130,https://in.indeed.com/company/convergence-it-services/jobs/Business-Analyst-7bf5d780d003b7a7?fccid=333bc4b3c68195dd&vjs=3,Business Analyst,Convergence IT Services,"₹6,00,000 a year",EmployerActive 3 days ago
131,https://in.indeed.com/company/Imarque-Solutions-Pvt.-Ltd/jobs/Senior-Data-Analyst-61805bbb00d37476?fccid=230b3321ccd24ccc&vjs=3,Senior Data Analyst,Imarque Solutions Pvt. Ltd,"₹3,00,000 - ₹3,25,000 a year",EmployerActive 3 days ago
132,https://in.indeed.com/rc/clk?jk=6106650cc07209b9&fccid=aaf3b433897ea465&vjs=3,newCIB-Wholesale KYC Operations-Client Data Analyst,"JPMorgan Chase Bank, N.A.",N/A,EmployerActive 3 days ago
133,https://in.indeed.com/rc/clk?jk=3ae359d5073ddaba&fccid=3d3aca135420e85d&vjs=3,newProduct Data Analyst,Phenom People,N/A,EmployerActive 3 days ago
