,Link,Job Title,Company Name,Experience,Salary,Location,Description,Skills Required
51,https://www.naukri.com/job-listings-data-ba-data-analysis-deep-learning-application-mindtree-limited-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-5-to-10-years-210522003141?src=jobsearchDesk&sid=16537441319072675&xp=12&px=3,"Data BA Data Analysis, Deep Learning Application",Mindtree,5-10 Yrs,"14,00,000 - 24,00,000 PA.","Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Role :Data BA with Analytics experience Data scientist who has experience working in Me...,['Data BA']
52,https://www.naukri.com/job-listings-legal-operations-data-analyst-i-p-invoice-focused-applied-materials-india-private-limited-bangalore-bengaluru-4-to-7-years-250522904509?src=jobsearchDesk&sid=16537441319072675&xp=13&px=3,Legal Operations Data Analyst (I P Invoice Focused),Applied Materials,4-7 Yrs,Not disclosed,Bangalore/Bengaluru," Located within the Legal and Compliance Organization (LCO), this role will have the res...","['Legal Operations', 'Data Visualization', 'Intellectual Property', 'Legal Compliance', 'Trademark']"
53,https://www.naukri.com/job-listings-lead-data-analyst-cognizant-technology-solutions-india-pvt-ltd-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-4-to-9-years-240522010192?src=jobsearchDesk&sid=16537441319072675&xp=14&px=3,Lead Data Analyst,Cognizant,4-9 Yrs,"7,00,000 - 17,00,000 PA.","Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Its A team lead position Roles and Responsibilities 1. Measure the profitability of Bus...,"['Exploratory Data Analysis', 'Data Analysis', 'RDBM', 'IT Skills', 'Python', 'Testing', 'Tableau', 'Excel']"
54,https://www.naukri.com/job-listings-reference-data-analyst-deutsche-bank-bangalore-bengaluru-2-to-5-years-210522500090?src=jobsearchDesk&sid=16537441319072675&xp=15&px=3,Reference Data Analyst,Deutsche Bank,2-5 Yrs,Not disclosed,Bangalore/Bengaluru, Must have strong organization skills the ability to work and review samples independent...,"['Excel', 'Senior Analyst', 'Diversity and Inclusion', 'Data Analyst', 'Training and Development', 'Taxation', 'Monitoring']"
55,https://www.naukri.com/job-listings-manager-sales-data-analyst-gurugram-varun-beverages-limited-gurgaon-gurugram-4-to-9-years-250522003792?src=jobsearchDesk&sid=16537441319072675&xp=16&px=3,"Manager - Sales Data Analyst , Gurugram",VBL,4-9 Yrs,"13,00,000 - 18,00,000 PA.",Gurgaon/Gurugram, JOB SPECIFICATIONS:JOB TITLE: Manager - Sales Data Analytics TYPE OF EMPLOYMENT: Perman...,"['Power Bi', 'Data Analysis', 'Tableau']"
56,https://www.naukri.com/job-listings-ecommerce-marketing-ppc-data-analyst-pro-mart-industries-inc-united-states-usa-2-to-7-years-230522009953?src=jobsearchDesk&sid=16537441319072675&xp=17&px=3,Ecommerce Marketing PPC Data Analyst,"Pro-Mart Industries, Inc.",2-7 Yrs,Not disclosed,Remote, Minimum 3 years experience of B2B and B2C sales through online channels,"['Pay Per Click', 'PPC', 'Ecommerce Marketing', 'amazon seller central', 'data analysis', 'Data Management', 'consumer products', 'Marketing Campaigns']"
57,https://www.naukri.com/job-listings-business-data-analyst-randstad-india-private-limited-mumbai-all-areas-1-to-5-years-230522000801?src=jobsearchDesk&sid=16537441319072675&xp=18&px=3,Business Data Analyst,Randstad India Private Limited ,1-5 Yrs,"4,00,000 - 7,00,000 PA.",Mumbai (All Areas)," Roles and Responsibilities : Performs data collection and analysis, financial modeling,...","['Fund Accounting / Investment Accounting / Trades / Settlement / Cash / Transfer Agency / Reconcilliation', 'investment accounting', 'Fund Accounting', 'Reconciliation', 'mutual funds', 'Fund Administration']"
58,https://www.naukri.com/job-listings-technical-data-analyst-datumlyze-pvt-ltd-chennai-0-to-2-years-040222005193?src=jobsearchDesk&sid=16537441319072675&xp=19&px=3,Technical Data Analyst,Datumlyze Pvt Ltd,0-2 Yrs,"1,75,000 - 4,00,000 PA.",Chennai(WFH during Covid), Technical Data AnalystWORK FROM HOME. NEED TO HAVE LAPTOP/COMPUTER WITH GOOD FIXED BROA...,"['Pivot Table', 'Excel', 'VLOOKUP', 'Linux', 'Data Analysis', 'MS Office', 'communication', 'Unix']"
59,https://www.naukri.com/job-listings-senior-data-analyst-sme-banking-dbs-bank-india-limited-mumbai-mumbai-suburban-mumbai-all-areas-8-to-13-years-130522000528?src=jobsearchDesk&sid=16537441319072675&xp=20&px=3,"Senior Data Analyst, SME Banking",DBS Bank,8-13 Yrs,"9,50,000 - 19,50,000 PA.","Mumbai, Mumbai Suburban, Mumbai (All Areas)", Experience in Corporate banking Small & Medium Enterprise Education / Preferred Qualifi...,"['SAS', 'Tableau', 'QlikView', 'SQL', 'Python', 'VBA', 'Data Analytics']"
60,https://www.naukri.com/job-listings-data-analyst-2-alliancedata-bangalore-bengaluru-2-to-5-years-270522501204?src=jobsearchDesk&sid=16537441348911514&xp=1&px=4,"Data Analyst, 2",AllianceData,2-5 Yrs,Not disclosed,Bangalore/Bengaluru," Bachelor s degree Bachelor s Degree (Required), Master s Degree Minimum Required Prefer...","['Microstrategy', 'Computer science', 'Career development', 'SAS', 'Business analysis', 'Wellness', 'Data mining', 'Financial services']"
