,Link,Title,Category,Price,SaLe Price,Discount
37,https://www.nike.com/in/t/air-max-97-se-shoes-FvBZ0j/DH1085-001,Nike Air Max 97 SE,Men's Shoes,"16,595","13,277",19.99%
38,https://www.nike.com/in/t/renew-elevate-2-basketball-shoe-JKX5j9/CW3406-002,Nike Renew Elevate 2,Basketball Shoe,"6,795","5,437",19.99%
39,https://www.nike.com/in/t/air-zoom-gt-run-basketball-shoes-Ls9vF6/CZ0202-200,Nike Air Zoom G.T. Run,Basketball Shoes,"16,595","13,277",19.99%
40,https://www.nike.com/in/t/glide-flyease-shoe-71zmgZ/DN4919-001,Nike Glide FlyEase,Shoe,"10,295","8,237",19.99%
41,https://www.nike.com/in/t/air-zoom-structure-24-road-running-shoes-9wCgmv/DA8535-002,Nike Air Zoom Structure 24,Men's Road Running Shoes,"10,295","8,237",19.99%
42,https://www.nike.com/in/t/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h/AR8836-005,NikeCourt Lite 2,Men's Hard Court Tennis Shoe,"4,995","3,997",19.98%
43,https://www.nike.com/in/t/sb-nyjah-free-2-skate-shoe-7tHZJZ/BV2078-001,Nike SB Nyjah Free 2,Skate Shoe,"7,995","6,397",19.99%
44,https://www.nike.com/in/t/air-max-pre-day-shoes-jMh2rB/DC9402-800,Nike Air Max Pre-Day,Men's Shoes,"11,495","9,197",19.99%
45,https://www.nike.com/in/t/sb-skate-top-VmWzzP/DH2661-010,Nike SB,Skate Top,"3,995","3,197",19.97%
46,https://www.nike.com/in/t/jordan-23-engineered-shorts-GtWTHg/DJ0234-321,Jordan 23 Engineered,Men's Shorts,"3,995","3,197",19.97%
47,https://www.nike.com/in/t/jordan-dri-fit-air-short-sleeve-graphic-top-fHBkqt/DA2694-687,Jordan Dri-FIT Air,Men's Short-Sleeve Graphic Top,"1,695","1,357",19.94%
48,https://www.nike.com/in/t/jordan-series-3-dear-90s-shoes-Tv50X7/DJ0420-700,Jordan Series .03 'Dear '90s',Shoes,"6,795","5,437",19.99%
49,https://www.nike.com/in/t/dri-fit-training-t-shirt-P1rC51/DH7543-289,Nike Dri-FIT,Men's Training T-Shirt,"1,595","1,277",19.94%
50,https://www.nike.com/in/t/air-zoom-type-crater-shoes-Vn5Wbx/DH9628-200,Nike Air Zoom-Type Crater,Men's Shoe,"13,495","10,797",19.99%
