,Link,Job Title,Company Name,Experience,Salary,Location,Description,Skills Required
178,https://www.naukri.com/job-listings-business-analyst-zetwerk-bangalore-bengaluru-1-to-3-years-200522501682?src=jobsearchDesk&sid=16539118979413485&xp=19&px=9,Business Analyst,Zetwerk,1-3 Yrs,Not disclosed,Bangalore/Bengaluru," Job Role: Business Analyst, Central Projects - Ops Excellence One of the core values at...","['Fabrication', 'Injection moulding', 'Supply chain', 'Home appliances', 'Manager Quality Assurance', 'Business Analyst', 'Aerospace', 'Process improvement']"
179,https://www.naukri.com/job-listings-f2b-business-analyst-avp-deutsche-bank-bangalore-bengaluru-7-to-12-years-190522501570?src=jobsearchDesk&sid=16539118979413485&xp=20&px=9,F2B-Business Analyst-AVP,Deutsche Bank,7-12 Yrs,Not disclosed,Bangalore/Bengaluru," As part of our flexible scheme, here are just some of the benefits that you ll enjoy Be...","['Product management', 'Team management', 'Business Analyst', 'Networking', 'Business analysis', 'Agile', 'Scrum', 'MS Office']"
180,https://www.naukri.com/job-listings-business-analyst-tata-elxsi-ltd-hyderabad-secunderabad-chennai-bangalore-bengaluru-trivandrum-thiruvananthapuram-5-to-8-years-190522500252?src=jobsearchDesk&sid=16539119013365353&xp=1&px=10,Business Analyst,Tata Elxsi,5-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Trivandrum/Thiruvananthapuram", We are looking for bright and passionate Business Analysts with: Experience in: Clearly...,"['Mining', 'Analytical skills', 'Heavy machinery', 'Business Analyst', 'Construction equipment', 'Telematics', 'Business modeling', 'LCA']"
181,https://www.naukri.com/job-listings-business-analyst-telecom-domain-tech-mahindra-ltd-noida-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-9-years-190522008746?src=jobsearchDesk&sid=16539119013365353&xp=2&px=10,Business Analyst- Telecom Domain,Tech Mahindra,4-9 Yrs,Not disclosed,"Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Telecom experience You would need to be flexible on working timing since you might be r...,"['Telecom', 'business analysis']"
182,https://www.naukri.com/job-listings-business-analyst-adm-ibm-india-pvt-limited-bangalore-bengaluru-6-to-10-years-180522910880?src=jobsearchDesk&sid=16539119013365353&xp=3&px=10,Business Analyst: ADM,IBM,6-10 Yrs,Not disclosed,Bangalore/Bengaluru," As Business Analyst, you are required to work under Regulatory Reporting streams for TR...","['Data analysis', 'Process improvement', 'Consulting', 'Back office', 'Financial services', 'Operational risk', 'Business analysis', 'Problem management']"
183,https://www.naukri.com/job-listings-business-analyst-adm-ibm-india-pvt-limited-bangalore-bengaluru-6-to-10-years-180522910618?src=jobsearchDesk&sid=16539119013365353&xp=4&px=10,Business Analyst: ADM,IBM,6-10 Yrs,Not disclosed,Bangalore/Bengaluru," As Business Analyst, you are required to work under Regulatory Reporting streams for TR...","['Data analysis', 'Process improvement', 'Consulting', 'Back office', 'Financial services', 'Operational risk', 'Business analysis', 'Problem management']"
184,https://www.naukri.com/job-listings-allegro-trading-software-business-analyst-accenture-solutions-pvt-ltd-bangalore-bengaluru-6-to-8-years-170522908210?src=jobsearchDesk&sid=16539119013365353&xp=5&px=10,Allegro Trading Software Business Analyst,Accenture,6-8 Yrs,Not disclosed,Bangalore/Bengaluru," Professional Attributes : 1Candidate must be able to work in small teams, or alone, for...","['Analytical', 'Consulting', 'Agile', 'Stored procedures', 'Project delivery', 'Allegro', 'Automation testing', 'Data modeling']"
185,https://www.naukri.com/job-listings-business-analyst-bangalore-elasticrun-pune-bangalore-bengaluru-5-to-10-years-170522608063?src=jobsearchDesk&sid=16539119013365353&xp=6&px=10,Business Analyst- Bangalore,ElasticRun,5-10 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru"," Identify and implement centralization of metrics measurement, operational reports and m...","['Statutory Audit', 'Procurement analyst', 'Internal Audit', 'sales analyst', 'FMCG', 'Ca', 'Articleship', 'data analyst']"
186,https://www.naukri.com/job-listings-business-analyst-hitachi-ltd-bangalore-bengaluru-3-to-7-years-170522500887?src=jobsearchDesk&sid=16539119013365353&xp=7&px=10,Business Analyst,Hitachi Ltd.,3-7 Yrs,Not disclosed,Bangalore/Bengaluru, Very good analytical and problem solving skills to unearth and solve issues Knowledge o...,"['Telecom', 'Business Analyst', 'etrm', 'Functional testing', 'Consulting', 'Agile', 'Test cases', 'Asset management']"
187,https://www.naukri.com/job-listings-business-analyst-thomson-reuters-india-pvt-ltd-bangalore-bengaluru-5-to-10-years-170522500857?src=jobsearchDesk&sid=16539119013365353&xp=8&px=10,Business Analyst,Thomson Reuters,5-10 Yrs,Not disclosed,Bangalore/Bengaluru," The ideal candidate will possess effective oral and written communication skills, as we...","['Computer science', 'Business improvement', 'Manager Quality Assurance', 'Business Analyst', 'Diversity and Inclusion', 'System integration', 'Scrum', 'Agile methodology']"
