,Link,Name,Location,Price,Sale Price,Description,Discount
1,https://www.oyorooms.com//155778/,Collection O 83452 Grand Royal Palms,"South Goa, Goa",4890.4,2567,"[' Reception ', ' Ticket Tour Assistance ', ' Caretaker ']",47.51%
11,https://www.oyorooms.com//167159/,OYO 84942 Garima Of Mandrem,"India, Goa",2617.6,1374,"[' Parking Facility ', ' Reception ', ' Caretaker ']",47.51%
12,https://www.oyorooms.com//18918/,OYO Flagship 11950 Relax Holiday Home,"Aquem Madgaon Road, Goa",3440.4,1806,"[' Free Wifi ', ' AC ', ' TV ']",47.51%
15,https://www.oyorooms.com//20297/,OYO 12855 The Goan Courtyard,"Near Colva Beach, Colva, Goa",2844.2,1493,"[' Parking Facility ', ' Free Wifi ', ' Power backup ']",47.51%
42,https://www.oyorooms.com//16161/,OYO 9828 Hotel Utorda,"Goa India , Goa",4170,2189,"[' Reception ', ' Power backup ', ' Security ']",47.51%
45,https://www.oyorooms.com//177573/,OYO Flagship 88809 Tania Holiday Homes,"India, Goa",3078.4,1616,"[' Doctor on Call ', ' Reception ', ' Free Wifi ']",47.51%
51,https://www.oyorooms.com//42030/,OYO 18951 City Xpress Hotel Rooms,"Dr. Dada Vaidhya Road, Panjim,Goa",5532.2,2904,"[' Free Wifi ', ' AC ', ' TV ']",47.51%
58,https://www.oyorooms.com//55387/,SPOT ON 36911 Stay Longer Guest House,"Khobra Waddo, Calangute, Goa",3275.2,1719,"[' Reception ', ' CCTV Cameras ', ' Window ']",47.51%
60,https://www.oyorooms.com//178114/,OYO Flagship 88997 Cathsil Cottages,"India, Goa",4875.4,2559,"[' Doctor on Call ', ' Reception ', ' Caretaker ']",47.51%
61,https://www.oyorooms.com//178696/,OYO 89176 Royal Amber,"Goa 403511, Goa",3610.2,1895,"[' Reception ', ' Free Wifi ', ' Geyser ']",47.51%
62,https://www.oyorooms.com//166861/,OYO 84899 Priti House,"Goa, Goa",3901.8,2048,"[' Parking Facility ', ' Reception ', ' Public Washroom ']",47.51%
64,https://www.oyorooms.com//4118/,OYO Flagship 2863 Hotel 4 Pillar's,"Near Community Centre, Panjim, Goa",4612.4,2421,"[' AC ', ' TV ', ' Window ']",47.51%
70,https://www.oyorooms.com//168575/,OYO 85326 Corinthia Boutique Rooms,"North Goa, Goa",4440.8,2331,"[' Reception ', ' Caretaker ', ' Power backup ']",47.51%
72,https://www.oyorooms.com//178343/,OYO HOME 89077 Souza Homes,"403101, Goa",4848.2,2545,[],47.51%
76,https://www.oyorooms.com//182784/,OYO 89774 Noor Hotel,"India, Goa",2583.4,1356,"[' Doctor on Call ', ' Reception ', ' Public Washroom ']",47.51%
88,https://www.oyorooms.com//176403/,OYO 88318 Baga Shine,"India, Goa",3339.8,1753,"[' Doctor on Call ', ' Reception ', ' Free Wifi ']",47.51%
96,https://www.oyorooms.com//176141/,OYO 88189 Small Daddy Hotel,"Goa India, Goa",5292,2778,"[' Reception ', ' Free Wifi ', ' Caretaker ']",47.51%
101,https://www.oyorooms.com//176958/,OYO 88551 Hotel Mira Residency ,"India, Goa",3153.2,1655,"[' Reception ', ' Bedside Table / Desk ', ' Attached Washroom ']",47.51%
104,https://www.oyorooms.com//109378/,OYO Home 78155 Spacious Studios Margao,"Margao, Goa",4833.4,2537,"[' AC ', ' TV ']",47.51%
114,https://www.oyorooms.com//109876/,OYO 78578 Hotel Ocean View,"India, Goa",5513.4,2894,"[' Reception ', ' Caretaker ', ' Security ']",47.51%
3,https://www.oyorooms.com//1531/,Townhouse OAK Lui Beach Resort,"India - 403515, Goa",4967.6,2608,"[' TV ', ' AC ', ' Coffee/Tea Maker ']",47.50%
4,https://www.oyorooms.com//177727/,OYO 88900 Leela Holidays Goa,"India, Goa",2087.6,1096,"[' Reception ', ' Public Washroom ', ' Security ']",47.50%
14,https://www.oyorooms.com//37250/,OYO 14779 Meera Motels & Residency,"Near Fatona, Colva, Goa",4128,2167,"[' Power backup ', ' Attached Washroom ', ' AC ']",47.50%
17,https://www.oyorooms.com//176426/,OYO 88334 Baga Vistas,"India, Goa",4070.6,2137,"[' Reception ', ' Free Wifi ', ' Garden/Backyard ']",47.50%
33,https://www.oyorooms.com//4077/,OYO Flagship 2844 Dewa Goa Hotel,"Near Domino's, Dabolim, Goa",6917.8,3632,"[' Free Wifi ', ' AC ', ' TV ']",47.50%
43,https://www.oyorooms.com//106420/,Collection O 50056 Casa De Patio,"Near Delfinos Hymart, Betim, Goa",5792.4,3041,"[' Parking Facility ', ' Elevator ', ' Swimming Pool ']",47.50%
48,https://www.oyorooms.com//167631/,Townhouse OAK 7 Spices,"India, Goa",5506.8,2891,"[' Reception ', ' Power backup ', ' Garden/Backyard ']",47.50%
49,https://www.oyorooms.com//178253/,OYO 89046 Book My Stay Calangute," Near Resorte Village Royale, Calangute, Dongarpur, Calangute, Goa 403516",3197.8,1679,"[' AC ', ' TV ', ' Window ']",47.50%
50,https://www.oyorooms.com//61501/,OYO 43615 Hotel Sunshine,"Near Goa Airpot, Dabolim, Goa",6771.4,3555,"[' Reception ', ' Power backup ', ' 24/7 Checkin ']",47.50%
52,https://www.oyorooms.com//113798/,OYO Home 81818 Elegant Studio 1BHK Varca,"Salcete, Goa",4137.2,2172,"[' Parking Facility ', ' Free Wifi ', ' CCTV Cameras ']",47.50%
53,https://www.oyorooms.com//17886/,OYO 1153 Hotel Skylark,"Near KFC, Calangute, Goa",4866.4,2555,"[' Free Wifi ', ' Geyser ', ' CCTV Cameras ']",47.50%
54,https://www.oyorooms.com//51875/,Capital O 30548 Padma Cottages,"Near Aswem Beach, Goa",3497,1836,"[' Reception ', ' Security ', ' Card Payment ']",47.50%
55,https://www.oyorooms.com//100744/,OYO 72146 Lotus Inn,"Near PNB Bank, Margao, Goa",4542.6,2385,"[' Private Entrance ', ' Reception ', ' 24/7 Checkin ']",47.50%
56,https://www.oyorooms.com//12090/,Collection O 7216 Kris Resort,"Near Shantadurga Temple, Calangute, Goa",7801.6,4096,"[' Parking Facility ', ' Reception ', ' Public Washroom ']",47.50%
57,https://www.oyorooms.com//171456/,OYO 86323 Red Lion,"India, Goa",2638.2,1385,"[' Doctor on Call ', ' Reception ', ' Public Washroom ']",47.50%
59,https://www.oyorooms.com//105457/,OYO Townhouse 256 Silver Palm Resort,"Near Novetel, Gauravaddo, Goa",5887.8,3091,"[' Reception ', ' Free Wifi ', ' Power backup ']",47.50%
63,https://www.oyorooms.com//106101/,OYO 75550 Holy Cross Home Stays,"Near Santa Cruz Church, Panjim, Goa",6645.8,3489,"[' Free Wifi ', ' AC ', ' CCTV Cameras ']",47.50%
66,https://www.oyorooms.com//88110/,OYO 65007 Oceana The Holiday Home,"Panaji, Goa",4293.6,2254,"[' Reception ', ' Free Wifi ', ' Caretaker ']",47.50%
71,https://www.oyorooms.com//161640/,OYO 84226 Mandrem Retreat By Taha,"India, Goa",2724,1430,"[' Reception ', ' Power backup ', ' CCTV Cameras ']",47.50%
84,https://www.oyorooms.com//113332/,Capital O 81380 Casa Veronica,"India, Goa",5727.4,3007,"[' Reception ', ' Caretaker ', ' Mini Fridge ']",47.50%
92,https://www.oyorooms.com//17977/,OYO 10809 Little Star,"Tito's Lane Baga Goa 403516, Goa",3851.6,2022,"[' Reception ', ' Free Wifi ', ' Power backup ']",47.50%
93,https://www.oyorooms.com//174825/,OYO 87638 Holiday Inn Annex,"India, Goa",3394.6,1782,"[' Hair Dryer ', ' Parking Facility ', ' Reception ']",47.50%
99,https://www.oyorooms.com//182505/,Capital O 89601 Blue Crown Hotel,"India, Goa",3181,1670,"[' Doctor on Call ', ' Reception ', ' Public Washroom ']",47.50%
100,https://www.oyorooms.com//170673/,Capital O 86047 Hotel Sunview,"India, Goa",3988.8,2094,"[' Reception ', ' Public Washroom ', ' Free Wifi ']",47.50%
105,https://www.oyorooms.com//155707/,OYO Townhouse 041 Calangute,"India, Goa",5646,2964,"[' Reception ', ' Ticket Tour Assistance ', ' Public Washroom ']",47.50%
108,https://www.oyorooms.com//112006/,OYO Home 80374 Ocean View 2BHK Dabolim,"Mormugao, Goa",5702.6,2994,[' AC '],47.50%
109,https://www.oyorooms.com//109369/,OYO 78146 Pravin holiday home,"Bishop Alex Dias Rd, Calangute, Goa",4763.4,2501,"[' Elevator ', ' Free Wifi ', ' CCTV Cameras ']",47.50%
111,https://www.oyorooms.com//61424/,OYO 43452 Radiant Studio Anjuna Beach,"Near Anjuna, Goa",4371.2,2295,"[' Parking Facility ', ' Daily Housekeeping ', ' CCTV Cameras ']",47.50%
2,https://www.oyorooms.com//3135/,Collection O O 2329 Hotel Goa's Pearl,"Candolim, Goa",3403.2,1787,"[' Parking Facility ', ' Free Wifi ', ' Balcony ']",47.49%
18,https://www.oyorooms.com//163134/,Capital O 84485 Morjim Beach Grand,"India, Goa",3281.4,1723,"[' Reception ', ' Free Wifi ', ' Security ']",47.49%
