,Link,Job Title,Company Name,Experience,Salary,Description,Skills Required
13,https://www.naukri.com/job-listings-medical-image-processing-engineer-dsp-matlab-opencv-career-maker-bangalore-bengaluru-5-to-8-years-210522900097?src=jobsearchDesk&sid=16541071839138419&xp=14&px=1,Medical Image Processing Engineer - DSP/MATLAB/OpenCV,Career Maker,5-8 Yrs,Not disclosed," Educational Qualification: Doctorate, Masters or Graduate Degree in Computer Science El...","['MATLAB', 'DSP', 'C++', 'OpenCV', 'Image Processing', 'OOAD', 'Algorithm']"
14,https://www.naukri.com/job-listings-sr-engineer-on-image-processing-for-mobile-sony-corporation-of-america-bangalore-bengaluru-5-to-10-years-290921501056?src=jobsearchDesk&sid=16541071839138419&xp=15&px=1,Sr Engineer on Image processing for mobile,Sony Corporation of America,5-10 Yrs,Not disclosed, Bachelors / Master Degree in ECE / CSE or related degree with experience in Image proce...,"['C++', 'Image processing', 'Analytical', 'Debugging', 'Android']"
15,https://www.naukri.com/job-listings-software-engineer-for-image-processing-flixstock-gurgaon-0-to-2-years-250121500767?src=jobsearchDesk&sid=16541071839138419&xp=16&px=1,Software Engineer for Image Processing,Flixstock,0-2 Yrs,Not disclosed," Having experience of working on low latency, high through put systems","['C++', 'Image processing', 'Machine learning', 'Javascript', 'Data structures', 'HTML', 'Perl', 'HTTP']"
16,https://www.naukri.com/job-listings-computer-vision-image-processing-expert-c-c-career-maker-bangalore-bengaluru-2-to-5-years-240522902438?src=jobsearchDesk&sid=16541071839138419&xp=17&px=1,Computer Vision/Image Processing Expert - C/C++,Career Maker,2-5 Yrs,Not disclosed, Education: MEMTechMS Fresh PhD from top institutes with good academic record Proficienc...,"['Image Processing', 'Matlab programming', 'CC++ programming', 'ARM assembly programming', 'OpenCV', 'IT Skills', 'Machine Learning', 'Java']"
17,https://www.naukri.com/job-listings-graduate-engineer-trainee-c-image-processing-jekson-vision-pvt-ltd-ahmedabad-0-to-1-years-020522601004?src=jobsearchDesk&sid=16541071839138419&xp=18&px=1,Graduate Engineer Trainee - C++ & Image Processing,Jekson Vision Pvt Ltd,0-1 Yrs,"50,000 - 3,00,000 PA.", Must have analytical skills and Quick learnerGood understanding of C / C++ programming ...,"['C++', 'QT', 'Opencv', 'Computer Vision', 'Machine Learning', 'Python', 'analytical', 'Deep Learning architecture']"
18,https://www.naukri.com/job-listings-graduate-engineer-trainee-c-image-processing-jekson-vision-pvt-ltd-ahmedabad-0-to-1-years-020522001000?src=jobsearchDesk&sid=16541071839138419&xp=19&px=1,Graduate Engineer Trainee - C++ & Image Processing,Jekson Vision Pvt Ltd,0-1 Yrs,"50,000 - 3,00,000 PA.", Must have analytical skills and Quick learnerGood understanding of C / C++ programming ...,"['C++', 'QT', 'Opencv', 'Computer Vision', 'Machine Learning', 'Python', 'analytical', 'Deep Learning architecture']"
19,https://www.naukri.com/job-listings-computer-vision-and-image-processing-internship-sensovision-systems-bangalore-bengaluru-0-to-2-years-291221501127?src=jobsearchDesk&sid=16541071839138419&xp=20&px=1,Computer Vision And Image Processing Internship,SensoVision Systems,0-2 Yrs,Not disclosed, Skill(s) required Having full stack development experience will be plusTheoretical and ...,"['C++ Programming', 'Django', 'Linux', 'Cloud', 'Machine Vision Camera', 'OpenCV', 'Python', 'TensorFlow']"
20,https://www.naukri.com/job-listings-computer-vision-image-processing-engineer-precision-technoplast-pvt-ltd-ahmedabad-2-to-7-years-221215500530?src=jobsearchDesk&sid=16541071883438174&xp=1&px=2,Computer Vision/ Image Processing Engineer,Precision Technoplast Pvt. Ltd.,2-7 Yrs,Not disclosed," MS/ PhD in Computer Science, Electrical Engineering, or Applied MathematicsMinimum 4 ye...","['image processing', 'algorithms', 'software development', 'sensors', 'quality control', 'computer vision', 'robotics', 'calibration']"
21,https://www.naukri.com/job-listings-computer-vision-image-processing-engineer-precision-technoplast-pvt-ltd-ahmedabad-2-to-7-years-080119500213?src=jobsearchDesk&sid=16541071883438174&xp=2&px=2,Computer Vision / Image Processing Engineer,Precision Technoplast Pvt. Ltd.,2-7 Yrs,Not disclosed," MS / PhD in Computer Science, Electrical Engineering, or Applied MathematicsMinimum 4 y...","['Computer science', 'Electrical engineering', 'Analytical skills', 'Computer vision', '3D', 'Image processing', 'Manager Quality Control', 'Sensors']"
22,https://www.naukri.com/job-listings-computer-vision-image-processing-machine-learning-engineer-kisan-network-new-delhi-1-to-5-years-240921501021?src=jobsearchDesk&sid=16541071883438174&xp=3&px=2,Computer Vision (Image Processing + Machine Learning) Engineer,Kisan Network,1-5 Yrs,Not disclosed, Prior experience in machine learning and image processing / computer vision,"['Supply chain', 'Computer vision', 'C++', 'Incharge', 'Image processing', 'Machine learning', 'Opengl', 'Open source']"
23,https://www.naukri.com/job-listings-computer-vision-image-processing-engineer-precision-technoplast-pvt-ltd-ahmedabad-4-to-9-years-080916500060?src=jobsearchDesk&sid=16541071883438174&xp=4&px=2,Computer Vision/ Image Processing Engineer,Precision Technoplast Pvt. Ltd.,4-9 Yrs,Not disclosed," Understanding of and experience with any of the following: 3D object recognition, real-...","['algorithms', 'strong', 'software development', 'c net', 'sensors', 'quality control', 'communications skills', 'robotics']"
